order_id,date,region,product,quantity,price
1,2024-01-01,East,Tablet,4,1376
2,2024-01-02,West,Headphones,4,1491
3,2024-01-03,North,Tablet,3,1383
4,2024-01-04,East,Laptop,1,1873
5,2024-01-05,East,Headphones,4,546
6,2024-01-06,West,Laptop,4,1366
7,2024-01-07,North,Headphones,2,1322
8,2024-01-08,North,Headphones,4,1435
9,2024-01-09,East,Phone,4,1155
10,2024-01-10,South,Laptop,2,768
11,2024-01-11,East,Tablet,3,869
12,2024-01-12,East,Tablet,4,1135
13,2024-01-13,East,Laptop,2,1629
14,2024-01-14,East,Tablet,1,1156
15,2024-01-15,West,Tablet,3,619
16,2024-01-16,North,Laptop,1,1330
17,2024-01-17,West,Headphones,1,1581
18,2024-01-18,West,Laptop,2,1869
19,2024-01-19,West,Headphones,4,1240
20,2024-01-20,East,Tablet,2,1997
21,2024-01-21,South,Tablet,2,616
22,2024-01-22,North,Tablet,2,1290
23,2024-01-23,South,Phone,2,1650
24,2024-01-24,West,Headphones,3,1916
25,2024-01-25,West,Phone,4,1512
26,2024-01-26,South,Phone,1,1581
27,2024-01-27,South,Laptop,1,1133
28,2024-01-28,South,Phone,4,1012
29,2024-01-29,West,Laptop,1,1301
30,2024-01-30,West,Laptop,4,1619
31,2024-01-31,North,Phone,1,1641
32,2024-02-01,North,Headphones,2,1059
33,2024-02-02,West,Headphones,1,987
34,2024-02-03,South,Headphones,4,1760
35,2024-02-04,South,Headphones,4,1396
36,2024-02-05,North,Headphones,4,1795
37,2024-02-06,West,Phone,4,1712
38,2024-02-07,North,Phone,4,1203
39,2024-02-08,North,Tablet,3,1970
40,2024-02-09,East,Headphones,3,1080
41,2024-02-10,East,Phone,1,1289
42,2024-02-11,East,Tablet,4,1360
43,2024-02-12,South,Headphones,1,746
44,2024-02-13,West,Laptop,4,1599
45,2024-02-14,West,Tablet,4,653
46,2024-02-15,West,Phone,3,1958
47,2024-02-16,West,Laptop,3,1496
48,2024-02-17,East,Laptop,2,1609
49,2024-02-18,South,Laptop,3,1196
50,2024-02-19,South,Tablet,2,1808
51,2024-02-20,East,Phone,2,1743
52,2024-02-21,South,Laptop,2,1592
53,2024-02-22,East,Headphones,2,1570
54,2024-02-23,West,Laptop,2,1508
55,2024-02-24,East,Laptop,1,593
56,2024-02-25,West,Tablet,3,1457
57,2024-02-26,West,Tablet,2,1511
58,2024-02-27,North,Phone,4,952
59,2024-02-28,East,Headphones,3,1727
60,2024-02-29,North,Tablet,3,1411
61,2024-03-01,East,Laptop,2,717
62,2024-03-02,East,Phone,1,973
63,2024-03-03,North,Laptop,2,931
64,2024-03-04,North,Laptop,1,840
65,2024-03-05,East,Tablet,4,1050
66,2024-03-06,South,Phone,3,1812
67,2024-03-07,West,Headphones,4,1777
68,2024-03-08,North,Headphones,1,856
69,2024-03-09,West,Tablet,1,522
70,2024-03-10,South,Tablet,4,1021
71,2024-03-11,South,Phone,1,1623
72,2024-03-12,South,Headphones,4,1301
73,2024-03-13,North,Headphones,3,1703
74,2024-03-14,South,Headphones,4,1746
75,2024-03-15,North,Laptop,3,1261
76,2024-03-16,South,Headphones,4,941
77,2024-03-17,West,Laptop,1,1268
78,2024-03-18,West,Phone,4,1515
79,2024-03-19,East,Laptop,1,1848
80,2024-03-20,West,Phone,4,1015
81,2024-03-21,East,Headphones,4,1539
82,2024-03-22,West,Headphones,2,1291
83,2024-03-23,North,Phone,1,835
84,2024-03-24,West,Tablet,2,757
85,2024-03-25,East,Phone,1,996
86,2024-03-26,East,Tablet,2,1395
87,2024-03-27,South,Laptop,3,659
88,2024-03-28,North,Laptop,4,1998
89,2024-03-29,West,Laptop,1,1351
90,2024-03-30,South,Headphones,1,1189
91,2024-03-31,West,Laptop,4,879
92,2024-04-01,West,Tablet,1,1456
93,2024-04-02,South,Laptop,1,1190
94,2024-04-03,South,Phone,2,1950
95,2024-04-04,South,Phone,1,1791
96,2024-04-05,South,Headphones,3,1940
97,2024-04-06,South,Phone,3,1691
98,2024-04-07,West,Tablet,4,1566
99,2024-04-08,South,Laptop,1,784
100,2024-04-09,North,Headphones,4,896
101,2024-04-10,East,Laptop,3,511
102,2024-04-11,South,Laptop,1,1825
103,2024-04-12,South,Tablet,1,1776
104,2024-04-13,West,Phone,4,998
105,2024-04-14,South,Phone,3,1253
106,2024-04-15,South,Laptop,1,534
107,2024-04-16,South,Headphones,4,1226
108,2024-04-17,West,Phone,3,1348
109,2024-04-18,South,Headphones,4,589
110,2024-04-19,East,Phone,2,1275
111,2024-04-20,West,Headphones,1,1104
112,2024-04-21,East,Tablet,2,1469
113,2024-04-22,West,Headphones,3,1521
114,2024-04-23,South,Tablet,2,917
115,2024-04-24,East,Tablet,2,614
116,2024-04-25,West,Headphones,3,1116
117,2024-04-26,North,Tablet,4,1719
118,2024-04-27,South,Laptop,2,1325
119,2024-04-28,West,Tablet,4,1598
120,2024-04-29,North,Phone,2,912
121,2024-04-30,West,Headphones,4,1899
122,2024-05-01,North,Laptop,3,1943
123,2024-05-02,South,Headphones,2,1228
124,2024-05-03,East,Phone,3,1800
125,2024-05-04,North,Phone,2,1520
126,2024-05-05,West,Phone,3,1260
127,2024-05-06,South,Tablet,3,1175
128,2024-05-07,North,Tablet,2,1917
129,2024-05-08,West,Headphones,2,956
130,2024-05-09,West,Headphones,2,1419
131,2024-05-10,West,Laptop,1,691
132,2024-05-11,North,Laptop,4,1238
133,2024-05-12,North,Headphones,1,1622
134,2024-05-13,North,Tablet,1,1477
135,2024-05-14,East,Phone,3,1508
136,2024-05-15,North,Headphones,2,595
137,2024-05-16,North,Laptop,4,1162
138,2024-05-17,North,Tablet,3,1713
139,2024-05-18,East,Headphones,1,536
140,2024-05-19,North,Headphones,2,1892
141,2024-05-20,West,Tablet,3,778
142,2024-05-21,North,Headphones,2,716
143,2024-05-22,West,Tablet,3,1366
144,2024-05-23,West,Phone,2,1372
145,2024-05-24,West,Tablet,1,1796
146,2024-05-25,East,Tablet,4,561
147,2024-05-26,East,Tablet,1,1095
148,2024-05-27,East,Headphones,4,1228
149,2024-05-28,North,Headphones,2,1865
150,2024-05-29,West,Tablet,3,896
151,2024-05-30,East,Headphones,1,1198
152,2024-05-31,East,Laptop,4,1542
153,2024-06-01,North,Laptop,1,676
154,2024-06-02,East,Headphones,4,895
155,2024-06-03,North,Headphones,1,944
156,2024-06-04,South,Tablet,4,1756
157,2024-06-05,East,Phone,4,575
158,2024-06-06,South,Headphones,2,764
159,2024-06-07,North,Laptop,4,954
160,2024-06-08,West,Tablet,2,1217
161,2024-06-09,East,Headphones,4,1234
162,2024-06-10,North,Laptop,3,1907
163,2024-06-11,West,Laptop,3,1350
164,2024-06-12,West,Phone,3,1890
165,2024-06-13,South,Tablet,4,643
166,2024-06-14,North,Tablet,2,1384
167,2024-06-15,West,Phone,2,1592
168,2024-06-16,East,Phone,4,1622
169,2024-06-17,East,Tablet,3,895
170,2024-06-18,South,Tablet,3,1548
171,2024-06-19,West,Headphones,2,1447
172,2024-06-20,North,Headphones,3,1390
173,2024-06-21,East,Phone,1,1992
174,2024-06-22,West,Headphones,2,1674
175,2024-06-23,West,Laptop,3,1667
176,2024-06-24,South,Headphones,2,1068
177,2024-06-25,East,Headphones,1,1562
178,2024-06-26,East,Laptop,2,608
179,2024-06-27,North,Phone,2,1565
180,2024-06-28,East,Laptop,2,1709
181,2024-06-29,North,Headphones,2,1434
182,2024-06-30,East,Phone,1,897
183,2024-07-01,South,Headphones,4,1746
184,2024-07-02,East,Laptop,2,1133
185,2024-07-03,North,Laptop,2,1656
186,2024-07-04,North,Headphones,3,1686
187,2024-07-05,South,Tablet,2,1738
188,2024-07-06,East,Tablet,3,1232
189,2024-07-07,East,Laptop,4,734
190,2024-07-08,South,Laptop,1,1157
191,2024-07-09,East,Tablet,1,1250
192,2024-07-10,East,Tablet,4,1087
193,2024-07-11,North,Headphones,1,1532
194,2024-07-12,East,Headphones,4,1597
195,2024-07-13,East,Tablet,4,1453
196,2024-07-14,South,Headphones,4,991
197,2024-07-15,South,Headphones,1,1412
198,2024-07-16,West,Phone,3,1776
199,2024-07-17,North,Headphones,4,1753
200,2024-07-18,East,Laptop,2,1697
